BANCO SABADELL,0.644,0.645,0.634,14:14,2021/05/25,14_30
BANKINTER,4.777,4.785,4.72,14:11,2021/05/25,14_30
BBVA,5.137,5.143,5.078,14:13,2021/05/25,14_30
CAIXABANK,2.842,2.845,2.777,14:13,2021/05/25,14_30
CELLNEX TELECOM,49.74,49.96,49.21,14:14,2021/05/25,14_30
CIE AUTOMOTIVE,24.46,24.78,24.34,14:05,2021/05/25,14_30
COLONIAL,8.725,8.92,8.69,14:00,2021/05/25,14_30
ENAGAS,19.11,19.16,18.93,14:12,2021/05/25,14_30
ENDESA,23.28,23.34,23.18,14:13,2021/05/25,14_30
FERROVIAL,24.32,24.52,24.29,14:14,2021/05/25,14_30
FLUIDRA,33.35,33.4,32.45,14:09,2021/05/25,14_30
GRIFOLS,23.37,23.49,23.17,14:11,2021/05/25,14_30
IAG,2.333,2.334,2.286,14:14,2021/05/25,14_30
IBERDROLA,11.47,11.5,11.425,14:14,2021/05/25,14_30
INDITEX,32.02,32.35,31.94,14:12,2021/05/25,14_30
INDRA,7.16,7.23,7.05,14:13,2021/05/25,14_30
MAPFRE,1.854,1.88,1.85,14:13,2021/05/25,14_30
MELI� HOTELS,7.008,7.04,6.828,14:14,2021/05/25,14_30
MERLIN PROP,9.026,9.132,8.972,14:14,2021/05/25,14_30
NATURGY,21.57,21.64,21.46,14:10,2021/05/25,14_30
PHARMA MAR,80.72,81.4,80.28,14:09,2021/05/25,14_30
RED EL�CTRICA,16.3,16.35,16.245,14:09,2021/05/25,14_30
REPSOL,10.986,11.088,10.938,14:13,2021/05/25,14_30
SANTANDER,3.409,3.414,3.351,14:13,2021/05/25,14_30
SIEMENS GAMESA,26.71,26.75,26.0,14:14,2021/05/25,14_30
SOLARIA,16.455,16.62,16.265,14:14,2021/05/25,14_30
TELEF�NICA,4.144,4.175,4.123,14:13,2021/05/25,14_30
VISCOFAN,58.85,59.25,58.75,14:06,2021/05/25,14_30
ACERINOX,11.665,11.83,11.66,15:15,2021/05/25,15_30
ACS,25.68,26.09,25.6,15:15,2021/05/25,15_30
AENA,142.85,144.15,142.65,15:16,2021/05/25,15_30
ALMIRALL,13.95,14.04,13.89,14:54,2021/05/25,15_30
AMADEUS IT GROUP,60.8,61.14,60.48,15:14,2021/05/25,15_30
ARCELORMITTAL,25.44,25.75,25.435,15:16,2021/05/25,15_30
BANCO SABADELL,0.645,0.649,0.634,15:16,2021/05/25,15_30
BANKINTER,4.762,4.785,4.72,15:15,2021/05/25,15_30
BBVA,5.138,5.153,5.078,15:16,2021/05/25,15_30
CAIXABANK,2.832,2.847,2.777,15:16,2021/05/25,15_30
CELLNEX TELECOM,49.81,49.96,49.21,15:16,2021/05/25,15_30
CIE AUTOMOTIVE,24.46,24.78,24.34,15:15,2021/05/25,15_30
COLONIAL,8.74,8.92,8.69,15:14,2021/05/25,15_30
ENAGAS,19.13,19.16,18.93,15:15,2021/05/25,15_30
ENDESA,23.3,23.34,23.18,15:16,2021/05/25,15_30
FERROVIAL,24.32,24.52,24.25,15:16,2021/05/25,15_30
FLUIDRA,33.2,33.55,32.45,15:16,2021/05/25,15_30
GRIFOLS,23.35,23.49,23.17,15:15,2021/05/25,15_30
IAG,2.344,2.344,2.286,15:15,2021/05/25,15_30
IBERDROLA,11.475,11.5,11.425,15:14,2021/05/25,15_30
INDITEX,31.98,32.35,31.89,15:16,2021/05/25,15_30
INDRA,7.145,7.23,7.05,15:14,2021/05/25,15_30
MAPFRE,1.851,1.88,1.85,15:15,2021/05/25,15_30
